




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (1447)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
cytoskeleton organization (GO:0007010)	1062	124	73.19	+	1.69	6.49E-04
regulation of protein metabolic process (GO:0051246)	2744	320	189.11	+	1.69	1.10E-15
cellular response to cytokine stimulus (GO:0071345)	984	114	67.82	+	1.68	3.41E-03
cell activation (GO:0001775)	1046	121	72.09	+	1.68	1.46E-03
response to cytokine (GO:0034097)	1072	124	73.88	+	1.68	1.03E-03
secretion by cell (GO:0032940)	986	114	67.95	+	1.68	3.56E-03
cellular response to chemical stimulus (GO:0070887)	2820	324	194.35	+	1.67	4.08E-15
positive regulation of cellular protein metabolic process (GO:0032270)	1567	180	107.99	+	1.67	1.52E-06
positive regulation of macromolecule metabolic process (GO:0010604)	3295	378	227.08	+	1.66	1.24E-18
positive regulation of cellular metabolic process (GO:0031325)	3274	375	225.64	+	1.66	2.80E-18
regulation of cell death (GO:0010941)	1659	190	114.33	+	1.66	6.09E-07
negative regulation of metabolic process (GO:0009892)	2854	326	196.69	+	1.66	8.43E-15
macromolecule metabolic process (GO:0043170)	6258	714	431.29	+	1.66	9.86E-47
positive regulation of nitrogen compound metabolic process (GO:0051173)	3151	359	217.16	+	1.65	7.45E-17
proteolysis (GO:0006508)	1344	153	92.63	+	1.65	7.60E-05
positive regulation of metabolic process (GO:0009893)	3565	405	245.69	+	1.65	1.07E-19
positive regulation of nucleic acid-templated transcription (GO:1903508)	1621	184	111.72	+	1.65	2.09E-06
positive regulation of RNA biosynthetic process (GO:1902680)	1622	184	111.78	+	1.65	2.82E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1459	165	100.55	+	1.64	2.94E-05
regulation of protein modification process (GO:0031399)	1805	204	124.40	+	1.64	3.27E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2348	265	161.82	+	1.64	1.39E-10
positive regulation of protein metabolic process (GO:0051247)	1669	188	115.02	+	1.63	2.51E-06
embryo development (GO:0009790)	942	106	64.92	+	1.63	3.64E-02
organic substance transport (GO:0071702)	2176	242	149.97	+	1.61	1.09E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	1457	162	100.41	+	1.61	1.36E-04
immune effector process (GO:0002252)	1071	119	73.81	+	1.61	1.28E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1379	153	95.04	+	1.61	3.83E-04
cellular metabolic process (GO:0044237)	7670	850	528.60	+	1.61	2.48E-57
nitrogen compound metabolic process (GO:0006807)	7228	797	498.14	+	1.60	3.84E-50
negative regulation of RNA metabolic process (GO:0051253)	1326	146	91.39	+	1.60	1.36E-03
positive regulation of transcription, DNA-templated (GO:0045893)	1535	169	105.79	+	1.60	1.20E-04
negative regulation of cellular metabolic process (GO:0031324)	2520	277	173.67	+	1.59	5.81E-10
cellular protein modification process (GO:0006464)	3106	340	214.06	+	1.59	4.34E-13
protein modification process (GO:0036211)	3106	340	214.06	+	1.59	4.34E-13
macromolecule modification (GO:0043412)	3315	362	228.46	+	1.58	3.26E-14
secretion (GO:0046903)	1100	120	75.81	+	1.58	3.03E-02
positive regulation of cellular process (GO:0048522)	5351	583	368.78	+	1.58	1.93E-28
negative regulation of biosynthetic process (GO:0009890)	1541	167	106.20	+	1.57	4.11E-04
response to stress (GO:0006950)	3467	375	238.94	+	1.57	2.53E-14
negative regulation of cellular biosynthetic process (GO:0031327)	1517	164	104.55	+	1.57	5.89E-04
protein metabolic process (GO:0019538)	4415	476	304.27	+	1.56	5.78E-20
positive regulation of molecular function (GO:0044093)	1773	191	122.19	+	1.56	4.38E-05
primary metabolic process (GO:0044238)	7725	831	532.39	+	1.56	2.71E-49
regulation of phosphorylation (GO:0042325)	1558	167	107.37	+	1.56	6.52E-04
regulation of multicellular organismal development (GO:2000026)	1999	213	137.77	+	1.55	1.27E-05
multi-organism process (GO:0051704)	2502	266	172.43	+	1.54	6.27E-08
organic substance metabolic process (GO:0071704)	8029	853	553.34	+	1.54	2.50E-49
regulation of cell differentiation (GO:0045595)	1783	189	122.88	+	1.54	1.91E-04
positive regulation of catalytic activity (GO:0043085)	1425	151	98.21	+	1.54	5.93E-03
response to oxygen-containing compound (GO:1901700)	1514	160	104.34	+	1.53	3.10E-03
establishment of localization (GO:0051234)	4588	484	316.20	+	1.53	1.23E-18
negative regulation of signal transduction (GO:0009968)	1242	131	85.60	+	1.53	4.56E-02
regulation of phosphate metabolic process (GO:0019220)	1756	185	121.02	+	1.53	3.60E-04
regulation of gene expression (GO:0010468)	4465	470	307.72	+	1.53	1.22E-17
regulation of phosphorus metabolic process (GO:0051174)	1758	185	121.16	+	1.53	4.69E-04
metabolic process (GO:0008152)	8478	888	584.29	+	1.52	2.28E-50
regulation of protein phosphorylation (GO:0001932)	1413	148	97.38	+	1.52	1.56E-02
positive regulation of biological process (GO:0048518)	6091	637	419.78	+	1.52	1.73E-27
phosphorylation (GO:0016310)	1331	139	91.73	+	1.52	4.07E-02
transport (GO:0006810)	4467	464	307.86	+	1.51	3.75E-16
regulation of catalytic activity (GO:0050790)	2312	239	159.34	+	1.50	1.17E-05
localization (GO:0051179)	5651	584	389.45	+	1.50	1.32E-22
organonitrogen compound metabolic process (GO:1901564)	5535	572	381.46	+	1.50	6.60E-22
regulation of developmental process (GO:0050793)	2541	260	175.12	+	1.48	5.09E-06
negative regulation of cellular process (GO:0048523)	4647	475	320.26	+	1.48	1.69E-15
regulation of macromolecule metabolic process (GO:0060255)	6129	625	422.40	+	1.48	1.12E-23
negative regulation of biological process (GO:0048519)	5218	532	359.61	+	1.48	3.27E-18
negative regulation of response to stimulus (GO:0048585)	1603	163	110.48	+	1.48	2.15E-02
phosphorus metabolic process (GO:0006793)	2232	226	153.82	+	1.47	1.96E-04
regulation of metabolic process (GO:0019222)	6652	671	458.44	+	1.46	2.36E-25
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4135	415	284.98	+	1.46	2.87E-11
phosphate-containing compound metabolic process (GO:0006796)	2205	221	151.96	+	1.45	5.81E-04
positive regulation of signal transduction (GO:0009967)	1637	164	112.82	+	1.45	4.33E-02
intracellular signal transduction (GO:0035556)	1707	171	117.64	+	1.45	2.55E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5874	583	404.82	+	1.44	2.85E-18
regulation of cellular metabolic process (GO:0031323)	6199	614	427.22	+	1.44	8.28E-20
regulation of primary metabolic process (GO:0080090)	6048	598	416.82	+	1.43	1.09E-18
positive regulation of signaling (GO:0023056)	1798	177	123.91	+	1.43	4.31E-02
regulation of biosynthetic process (GO:0009889)	4318	423	297.59	+	1.42	4.72E-10
response to chemical (GO:0042221)	4386	428	302.27	+	1.42	5.11E-10
regulation of cellular biosynthetic process (GO:0031326)	4245	414	292.56	+	1.42	1.96E-09
regulation of macromolecule biosynthetic process (GO:0010556)	4074	397	280.77	+	1.41	8.43E-09
regulation of RNA metabolic process (GO:0051252)	3831	373	264.02	+	1.41	8.08E-08
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3951	383	272.29	+	1.41	5.45E-08
regulation of multicellular organismal process (GO:0051239)	3074	295	211.85	+	1.39	1.13E-04
regulation of biological quality (GO:0065008)	3996	383	275.40	+	1.39	2.71E-07
immune system process (GO:0002376)	2729	260	188.08	+	1.38	2.01E-03
regulation of molecular function (GO:0065009)	3236	306	223.02	+	1.37	2.23E-04
regulation of signal transduction (GO:0009966)	3269	297	225.29	+	1.32	1.13E-02
regulation of nucleic acid-templated transcription (GO:1903506)	3579	324	246.66	+	1.31	4.29E-03
regulation of RNA biosynthetic process (GO:2001141)	3587	324	247.21	+	1.31	5.29E-03
regulation of cell communication (GO:0010646)	3621	325	249.55	+	1.30	8.42E-03
regulation of signaling (GO:0023051)	3661	328	252.31	+	1.30	9.29E-03
regulation of response to stimulus (GO:0048583)	4375	390	301.52	+	1.29	7.28E-04
regulation of transcription, DNA-templated (GO:0006355)	3524	313	242.87	+	1.29	3.83E-02
cellular response to stimulus (GO:0051716)	6555	579	451.76	+	1.28	8.12E-08
cellular developmental process (GO:0048869)	3721	328	256.44	+	1.28	3.66E-02
cellular process (GO:0009987)	14424	1268	994.07	+	1.28	2.19E-56
developmental process (GO:0032502)	5664	497	390.35	+	1.27	2.35E-05
system development (GO:0048731)	4346	378	299.52	+	1.26	1.58E-02
multicellular organism development (GO:0007275)	4940	423	340.45	+	1.24	1.26E-02
response to stimulus (GO:0050896)	8341	709	574.84	+	1.23	5.00E-08
regulation of cellular process (GO:0050794)	10894	926	750.79	+	1.23	2.20E-15
anatomical structure development (GO:0048856)	5320	451	366.64	+	1.23	1.42E-02
regulation of biological process (GO:0050789)	11608	970	800.00	+	1.21	1.24E-14
biological regulation (GO:0065007)	12296	1008	847.41	+	1.19	2.84E-13
biological_process (GO:0008150)	17772	1394	1224.81	+	1.14	6.20E-41
nervous system process (GO:0050877)	1362	38	93.87	-	.40	8.96E-07
G protein-coupled receptor signaling pathway (GO:0007186)	1318	30	90.83	-	.33	1.81E-09
detection of stimulus (GO:0051606)	693	14	47.76	-	.29	2.05E-04
adaptive immune response (GO:0002250)	551	11	37.97	-	.29	7.04E-03
sensory perception (GO:0007600)	948	17	65.33	-	.26	3.44E-08
Unclassified (UNCLASSIFIED)	3224	53	222.19	-	.24	0.00E00
detection of chemical stimulus (GO:0009593)	518	2	35.70	-	.06	6.41E-09
detection of stimulus involved in sensory perception (GO:0050906)	538	2	37.08	-	.05	2.04E-09
sensory perception of smell (GO:0007608)	462	1	31.84	-	.03	1.75E-08
sensory perception of chemical stimulus (GO:0007606)	534	1	36.80	-	.03	1.48E-10
